net_user,age,male,friend_cnt,avg_friend_age,avg_friend_male,friend_country_cnt,subscriber_friend_cnt,songsListened,subscription_spending_$,posts,playlists,shouts,adopter,tenure,good_country
fuckaspunk,21.0,0.0,15.0,21.69230769,0.538461539,1.0,0.0,4255,0,0,0,23.0,0,60.0,1.0
ladyyvampiree,20.0,,2.0,26.0,1.0,2.0,0.0,2,2,0,0,2.0,0,15.0,0.0
phuturetrax,,,18.0,34.33333333,0.666666667,3.0,0.0,188,3,0,1,1.0,0,51.0,1.0
goowe,21.0,1.0,9.0,21.625,0.555555556,4.0,0.0,24603,446,0,0,,0,21.0,0.0
yatsutanya,,0.0,17.0,27.0,1.0,2.0,1.0,10815,3,0,1,4.0,0,36.0,0.0
iceicebabyil,,,0.0,,,0.0,0.0,671,244,0,0,0.0,0,14.0,
drago101,14.0,1.0,2.0,21.0,1.0,2.0,0.0,609,100,4,0,0.0,0,25.0,1.0
karavashkin,,,1.0,,1.0,0.0,0.0,408,2,0,1,2.0,0,40.0,
prolagus,,,14.0,31.0,0.8,6.0,0.0,15017,100,2,0,3.0,0,27.0,
lowspeedchase,,1.0,4.0,27.0,1.0,2.0,0.0,48901,2,6,0,0.0,0,77.0,1.0
internaut1972,39.0,1.0,6.0,38.6,0.5,5.0,1.0,31154,0,14,0,0.0,0,36.0,0.0
ellimir,20.0,1.0,1.0,18.0,1.0,1.0,0.0,0,0,0,0,1.0,0,17.0,0.0
lnerd,,,0.0,,,0.0,0.0,511,6,0,1,1.0,0,21.0,
elijah_45,,,1.0,,,0.0,0.0,106,0,0,0,2.0,0,34.0,
endlesslyfinite,,,1.0,,0.0,1.0,0.0,144,0,0,0,6.0,0,25.0,
kseraksi,21.0,1.0,4.0,22.33333333,1.0,1.0,0.0,5028,0,0,1,3.0,0,47.0,
roger569,19.0,1.0,2.0,20.0,0.5,1.0,0.0,39,0,0,0,3.0,0,8.0,0.0
lars_weiss,,,2.0,19.5,1.0,1.0,0.0,884,0,0,0,6.0,0,30.0,
toddgearhart,,,1.0,29.0,1.0,1.0,0.0,3323,34,0,0,1.0,0,68.0,
ozakn,20.0,1.0,14.0,20.75,0.384615385,3.0,0.0,1965,9,0,0,22.0,0,41.0,0.0
hanayuki,20.0,0.0,1.0,19.0,0.0,1.0,0.0,74,0,0,1,3.0,0,45.0,0.0
rvth,,,0.0,,,0.0,0.0,6881,0,0,0,1.0,0,22.0,
nursejosey,42.0,0.0,4.0,29.0,0.666666667,2.0,0.0,635,99,0,1,3.0,0,53.0,1.0
thatkid8,23.0,1.0,4.0,27.0,0.75,2.0,0.0,24113,0,0,0,5.0,0,72.0,1.0
sensibleheart33,18.0,1.0,3.0,22.5,0.333333333,3.0,0.0,12316,47,0,1,3.0,0,35.0,0.0
sisisekas,22.0,1.0,1.0,20.0,0.0,1.0,0.0,0,0,0,0,2.0,0,20.0,0.0
seanxdc,,,0.0,,,0.0,0.0,227,23,0,1,1.0,1,33.0,
ralu_ralu,25.0,0.0,6.0,24.66666667,0.4,1.0,0.0,325,0,0,0,1.0,0,43.0,0.0
akukage,27.0,1.0,1.0,20.0,0.0,1.0,0.0,0,0,0,0,3.0,0,42.0,0.0
onionknight_,,1.0,2.0,20.0,1.0,2.0,0.0,31141,42,1,0,3.0,0,35.0,0.0
hiweirdo,,0.0,1.0,18.0,0.0,1.0,0.0,1096,93,0,1,2.0,0,41.0,
nakashimada,33.0,1.0,35.0,27.44,0.821428571,5.0,2.0,32743,0,0,0,6.0,0,24.0,0.0
juniorsofiati,,,3.0,33.5,1.0,2.0,0.0,13415,0,0,0,4.0,0,55.0,
miksudaa,24.0,1.0,19.0,22.8125,0.411764706,1.0,0.0,83264,148,0,1,4.0,0,37.0,0.0
negariiii,,0.0,17.0,27.25,0.9375,7.0,0.0,0,0,1,0,48.0,0,24.0,0.0
parizene,,,1.0,,,0.0,0.0,0,0,0,0,1.0,0,6.0,
szybki90,21.0,1.0,5.0,25.0,0.75,3.0,0.0,21252,2,0,1,11.0,0,41.0,0.0
d_rox,,0.0,39.0,36.11111111,0.742857143,4.0,4.0,4286,1070,0,0,31.0,0,51.0,1.0
ronsel18,,,3.0,30.66666667,0.666666667,1.0,0.0,7696,51,0,0,1.0,0,57.0,
matzebollen,,1.0,0.0,,,0.0,0.0,1663,0,0,0,1.0,0,39.0,0.0
vladiii,22.0,1.0,2.0,21.5,1.0,1.0,0.0,6380,0,0,0,8.0,0,54.0,0.0
claudeee,,,1.0,28.0,1.0,1.0,0.0,0,0,0,0,0.0,0,63.0,
spooky_jewell,,,1.0,28.0,1.0,1.0,0.0,96,3,0,0,0.0,0,23.0,
guzzey,19.0,1.0,15.0,19.75,0.214285714,5.0,0.0,14284,0,0,1,37.0,0,43.0,0.0
derhuebner_ve,,,1.0,,1.0,1.0,0.0,13,0,0,0,1.0,0,7.0,
kuswansetiam,19.0,1.0,76.0,18.86764706,0.23943662,17.0,0.0,29454,180,0,1,97.0,0,16.0,0.0
trleister,20.0,0.0,12.0,22.0,0.454545455,3.0,0.0,4206,482,0,0,64.0,0,25.0,0.0
tokyoextazy,21.0,1.0,3.0,23.0,0.666666667,1.0,0.0,5757,1,0,1,2.0,0,57.0,0.0
wayne3,21.0,1.0,16.0,20.16666667,0.133333333,5.0,0.0,4258,12,0,2,1.0,0,42.0,1.0
carraldocarruso,,,3.0,51.0,0.333333333,2.0,0.0,18127,372,0,1,2.0,0,28.0,
madeinheart,21.0,0.0,16.0,22.83333333,0.75,5.0,0.0,49179,220,2,1,311.0,0,52.0,0.0
sergeyhodusov,30.0,1.0,6.0,21.83333333,0.5,3.0,0.0,4273,36,0,1,1.0,0,15.0,0.0
black_j,24.0,0.0,2.0,23.0,0.5,2.0,0.0,5060,18,0,1,1.0,0,28.0,0.0
davidofcynwyd,23.0,1.0,0.0,,,0.0,0.0,391,92,0,1,0.0,1,16.0,1.0
huramentado,,,0.0,,,0.0,0.0,1133,93,0,0,0.0,0,25.0,
florida1992,,,3.0,17.33333333,0.0,1.0,0.0,8004,20,0,1,4.0,0,21.0,
planetdemiurge,,,0.0,,,0.0,0.0,239,1,0,0,0.0,0,14.0,
jkzet,,,8.0,22.125,1.0,3.0,0.0,16743,12,0,0,4.0,0,54.0,
sinoffering,25.0,0.0,21.0,28.29411765,1.0,7.0,1.0,19052,43,0,1,29.0,1,57.0,0.0
raider00,,,0.0,,,0.0,0.0,191,3,0,0,0.0,0,15.0,
don-iel,24.0,1.0,16.0,24.81818182,0.642857143,1.0,0.0,15910,4,0,0,9.0,0,53.0,1.0
ghuertas,,,1.0,,,1.0,0.0,30,1,0,0,0.0,0,70.0,
missluciferr,26.0,0.0,86.0,27.66666667,0.851351351,23.0,9.0,33261,334,0,1,69.0,0,39.0,0.0
jakobvs,,,1.0,,,0.0,0.0,4487,64,0,1,2.0,0,26.0,
shhhhhhhhhhh,18.0,1.0,6.0,18.0,0.75,1.0,0.0,989,5,0,0,3.0,0,33.0,
redrose2,,,1.0,23.0,1.0,1.0,0.0,292,0,0,0,1.0,0,68.0,
imissburritos,,,1.0,,1.0,0.0,0.0,4948,2,0,1,3.0,0,36.0,
hypernoize,,1.0,69.0,20.83333333,0.774193548,22.0,1.0,4241,24,2,0,28.0,0,18.0,1.0
schwabinka,,,1.0,,,0.0,0.0,9460,80,0,1,2.0,1,56.0,
yorn_,23.0,1.0,5.0,22.5,1.0,2.0,0.0,4594,6,0,0,0.0,0,44.0,0.0
paolazz,28.0,0.0,6.0,29.25,0.6,1.0,0.0,248,61,0,0,1.0,0,34.0,
begazz,32.0,1.0,24.0,28.75,0.4,13.0,0.0,12532,12,0,1,20.0,0,44.0,0.0
_brightreddoor,21.0,0.0,4.0,23.0,0.5,2.0,0.0,13039,0,0,1,28.0,0,68.0,1.0
zumrcat,23.0,1.0,9.0,22.2,0.833333333,2.0,0.0,6113,70,0,0,15.0,0,61.0,
orkie_nl,21.0,1.0,4.0,20.5,1.0,1.0,0.0,5045,1,2,1,4.0,0,44.0,0.0
beastrex,23.0,1.0,1.0,41.0,1.0,1.0,0.0,7,5,0,1,,0,50.0,1.0
d-dread,,1.0,31.0,27.0,0.619047619,8.0,1.0,92,18,0,3,16.0,0,38.0,1.0
orlov_d,21.0,,1.0,21.0,1.0,1.0,0.0,0,0,0,0,0.0,0,14.0,0.0
xest3r,21.0,1.0,1.0,,,0.0,0.0,661,1,0,1,1.0,0,43.0,0.0
kinky_dive,,0.0,3.0,36.0,0.5,1.0,0.0,31852,23,0,1,4.0,0,63.0,0.0
firebirdfierce,,,0.0,,,0.0,0.0,813,26,0,1,0.0,0,14.0,
shur-sh,25.0,1.0,4.0,27.25,0.75,2.0,0.0,3885,12,0,0,0.0,0,44.0,0.0
tuffcustard,38.0,0.0,32.0,35.66666667,0.913043478,8.0,2.0,15016,368,323,1,220.0,1,72.0,1.0
dufusweemamoo,45.0,1.0,0.0,,,0.0,0.0,114,0,0,0,1.0,0,32.0,1.0
belletha,19.0,0.0,8.0,19.0,0.75,1.0,0.0,28094,100,0,0,,0,18.0,0.0
gamehed,,,0.0,,,0.0,0.0,1136,361,0,0,0.0,0,25.0,
kjmmx,,1.0,6.0,24.25,0.4,4.0,0.0,3512,12,0,0,3.0,0,39.0,0.0
kajalini,57.0,,7.0,37.25,0.5,4.0,0.0,11037,809,0,2,2.0,1,54.0,1.0
sophiecale,,,1.0,,,0.0,0.0,40499,0,0,0,1.0,0,6.0,
raxxor15,,,12.0,22.5,0.875,1.0,0.0,58471,127,0,0,3.0,0,38.0,
atlasgreene,19.0,1.0,13.0,21.0,0.4,2.0,0.0,7587,5,0,0,13.0,0,17.0,1.0
edda-,,1.0,1.0,23.0,0.0,1.0,0.0,1559,9,0,0,4.0,0,4.0,0.0
nost88,23.0,1.0,7.0,22.66666667,1.0,2.0,0.0,3134,66,0,1,5.0,0,55.0,0.0
ccfrock,,,1.0,26.0,1.0,1.0,0.0,1477,0,0,0,1.0,0,82.0,
eoa,,0.0,3.0,26.5,1.0,1.0,0.0,31201,72,2,1,0.0,0,69.0,0.0
merciless1,20.0,1.0,27.0,21.44444444,0.541666667,12.0,0.0,11431,713,7,0,9.0,1,33.0,0.0
ericazacarias,24.0,0.0,6.0,23.5,0.8,1.0,0.0,524,0,0,0,3.0,0,39.0,0.0
smith7018,,,1.0,20.0,1.0,1.0,0.0,23941,0,0,0,1.0,0,12.0,
mbrouwer,,,3.0,24.5,1.0,1.0,0.0,8870,0,0,0,2.0,0,79.0,
cookpetefm,22.0,1.0,4.0,22.33333333,0.333333333,1.0,0.0,4767,2,0,0,4.0,0,19.0,1.0
louis_12,,,1.0,,,0.0,0.0,48,0,0,0,2.0,0,41.0,
madulaa,,0.0,10.0,30.375,0.7,4.0,2.0,2036,6,1,1,8.0,0,16.0,0.0
kubero69,34.0,1.0,5.0,31.75,0.75,2.0,0.0,1879,60,0,1,2.0,0,58.0,0.0
koenhoppus,18.0,1.0,5.0,18.0,0.8,1.0,0.0,10333,2,0,1,3.0,0,51.0,0.0
sunkisss,20.0,0.0,2.0,21.0,0.5,2.0,0.0,0,0,0,1,2.0,0,30.0,0.0
ileanap,,0.0,10.0,27.0,0.666666667,3.0,0.0,18452,287,0,0,2.0,0,39.0,0.0
larukusan,23.0,,1.0,22.0,1.0,1.0,0.0,7425,0,0,0,1.0,0,75.0,0.0
ofdevon,,,2.0,31.0,,0.0,0.0,28,3,0,0,0.0,0,12.0,
mrklindo,,,2.0,,,0.0,0.0,1627,100,0,0,1.0,1,22.0,
erinnelson,,,2.0,58.0,1.0,1.0,0.0,2798,30,0,0,1.0,0,26.0,
simonhepti,22.0,1.0,1.0,23.0,1.0,1.0,0.0,0,0,0,1,1.0,0,50.0,1.0
pandaskittlez72,16.0,0.0,2.0,,0.0,1.0,0.0,417,133,0,0,1.0,0,25.0,
matisen,,,1.0,27.0,,1.0,0.0,1027,9,0,1,2.0,0,38.0,
custardpiie,18.0,1.0,1.0,20.0,1.0,0.0,0.0,339,18,0,0,5.0,1,16.0,1.0
hdeion,,,0.0,,,0.0,0.0,788,292,0,0,0.0,0,14.0,
cee-lo,23.0,1.0,7.0,21.42857143,0.714285714,3.0,0.0,54786,71,0,0,14.0,1,35.0,0.0
dbr8bd,,,6.0,22.25,0.4,2.0,1.0,12572,686,0,1,1.0,1,10.0,1.0
mmcoronel,,,3.0,20.5,0.5,1.0,0.0,0,0,0,0,3.0,0,27.0,
drrectagon,,,6.0,32.0,1.0,3.0,0.0,72075,116,0,3,3.0,0,76.0,1.0
x118xrambo,34.0,,0.0,,,0.0,0.0,646,24,0,0,0.0,1,25.0,1.0
sarvatt,,1.0,2.0,29.5,1.0,2.0,0.0,5528,55,0,1,1.0,0,57.0,1.0
interpolator,,1.0,4.0,21.5,0.0,1.0,0.0,7233,145,0,1,5.0,0,51.0,0.0
casadelmirto,31.0,1.0,2.0,23.0,0.5,2.0,0.0,2300,5,0,1,4.0,0,43.0,0.0
jhenriks,,1.0,2.0,33.5,1.0,1.0,0.0,5094,0,0,0,1.0,0,31.0,0.0
amooseabroad,35.0,1.0,1.0,23.0,0.0,1.0,0.0,1857,154,0,1,1.0,0,25.0,1.0
xhoux,16.0,,1.0,22.0,,1.0,0.0,33717,24,0,0,1.0,0,19.0,0.0
jaymat707,,,0.0,,,0.0,0.0,274,117,0,0,0.0,0,13.0,
weinventlove,,0.0,5.0,20.0,0.2,3.0,0.0,257,20,0,1,2.0,0,6.0,1.0
ninfa_per_te,25.0,0.0,5.0,32.2,0.6,4.0,0.0,1794,1,0,1,2.0,0,46.0,
infrnc,17.0,0.0,4.0,18.0,0.0,1.0,0.0,14975,0,0,0,2.0,0,29.0,0.0
minimaxim,26.0,1.0,7.0,26.5,0.8,2.0,0.0,17070,78,0,0,2.0,1,46.0,0.0
prostoann,,,1.0,,,0.0,0.0,223,1,0,1,2.0,0,21.0,
fall4u_,21.0,,63.0,20.60784314,0.551724138,7.0,0.0,42692,269,2,0,27.0,1,36.0,0.0
scorpikk,16.0,1.0,19.0,18.21428571,0.882352941,2.0,0.0,16170,28,0,0,3.0,0,27.0,0.0
yoruni,,0.0,94.0,22.92307692,0.586206897,17.0,2.0,8429,11,56,1,227.0,1,62.0,0.0
flaviotorezani,16.0,1.0,216.0,17.62275449,0.604278075,28.0,3.0,34323,0,1,0,586.0,1,15.0,0.0
bublemaster,,,1.0,37.0,1.0,1.0,0.0,117,0,0,0,2.0,0,41.0,
shochman,,,1.0,33.0,1.0,1.0,0.0,25644,2,0,1,0.0,0,28.0,
zekari,,,2.0,24.0,,1.0,0.0,17431,0,0,0,0.0,0,77.0,1.0
guerillafare,,,0.0,,,0.0,0.0,2207,0,0,0,0.0,0,23.0,
trick1989,22.0,1.0,307.0,22.4212766,0.918149466,43.0,9.0,51000,0,1,0,1150.0,0,48.0,0.0
aschwalbc,19.0,1.0,1.0,20.0,1.0,1.0,0.0,77321,2,0,0,1.0,0,8.0,0.0
sweetnighter,23.0,1.0,12.0,25.6,0.818181818,3.0,0.0,23517,0,5,0,4.0,0,79.0,1.0
bridget60,51.0,0.0,1.0,28.0,1.0,1.0,0.0,669,17,0,1,2.0,0,22.0,1.0
marea2008,,0.0,1.0,33.0,0.0,1.0,0.0,0,7,0,1,1.0,0,36.0,0.0
e209man,14.0,1.0,0.0,,,0.0,0.0,988,150,0,0,0.0,0,19.0,1.0
jamespull,,,7.0,21.5,0.5,2.0,0.0,49914,5,0,1,2.0,0,39.0,
ai_the_ripper,,0.0,0.0,,,0.0,0.0,6963,0,0,0,1.0,0,16.0,0.0
guurant,21.0,1.0,8.0,21.25,0.4,2.0,0.0,7500,2,0,0,9.0,0,61.0,1.0
serenadetohate,19.0,1.0,10.0,21.2,0.555555556,8.0,0.0,44341,137,0,0,7.0,0,33.0,1.0
ta_ta,,,1.0,,0.0,1.0,0.0,0,2,0,1,1.0,0,40.0,
ianberry,60.0,1.0,1.0,,,0.0,0.0,0,0,0,0,3.0,0,59.0,1.0
yanka_bg,,,1.0,26.0,1.0,1.0,0.0,2677,0,0,0,2.0,0,64.0,
mergeandvary,,,5.0,23.5,0.5,3.0,0.0,33549,48,0,1,2.0,0,47.0,0.0
redfacedrhino,,1.0,4.0,22.66666667,0.5,4.0,0.0,27325,216,9,1,,0,66.0,1.0
keithzor,,,1.0,,,1.0,0.0,0,0,0,0,2.0,0,29.0,
adrawk7,,1.0,1.0,,1.0,1.0,0.0,16,0,0,0,1.0,0,48.0,1.0
d3cepti0ns,,,1.0,22.0,0.0,1.0,0.0,8595,0,0,0,2.0,0,51.0,
defann,,1.0,5.0,28.5,1.0,2.0,0.0,5742,0,0,1,2.0,0,65.0,0.0
daniel947,25.0,,2.0,,0.0,1.0,0.0,502,14,0,0,1.0,0,35.0,
reaction_shorty,19.0,1.0,17.0,24.4,0.636363636,1.0,0.0,28255,17,0,1,9.0,0,48.0,0.0
rrrrraaf,,,3.0,18.33333333,1.0,2.0,0.0,2448,0,0,0,1.0,0,19.0,
kasarkedi,,1.0,10.0,25.875,0.375,1.0,0.0,15895,35,0,1,16.0,0,61.0,0.0
rdbram824,21.0,1.0,67.0,21.22916667,0.666666667,4.0,3.0,100617,27,16,0,47.0,0,58.0,1.0
ossk_a,,,3.0,24.0,0.333333333,1.0,0.0,12751,4,0,0,3.0,0,62.0,
maxo87,23.0,1.0,3.0,22.66666667,0.0,1.0,0.0,6064,86,0,0,2.0,0,18.0,0.0
asz17,17.0,1.0,2.0,18.0,1.0,1.0,0.0,311,1,0,0,2.0,0,18.0,0.0
andate,,,1.0,,0.0,1.0,0.0,38,3,0,0,1.0,0,36.0,
bitbit_love,,,10.0,19.25,0.666666667,5.0,0.0,11342,2,0,0,2.0,0,11.0,1.0
anoee,26.0,0.0,1.0,,,1.0,0.0,7,3,0,2,2.0,0,46.0,1.0
fallenangel21,26.0,0.0,9.0,27.28571429,0.428571429,3.0,1.0,27749,59,1,2,28.0,0,69.0,0.0
radeg81,,,2.0,27.0,0.5,1.0,0.0,505,0,0,0,1.0,0,20.0,
pjravsav,,,0.0,,,0.0,0.0,303,54,0,0,0.0,0,25.0,
miloneurosis,,1.0,3.0,25.0,0.0,1.0,1.0,2395,10,0,0,7.0,0,11.0,0.0
x-boy84,26.0,1.0,5.0,26.33333333,0.6,3.0,0.0,8817,1460,0,1,0.0,0,71.0,0.0
tensagas,,0.0,33.0,26.76470588,0.37037037,9.0,3.0,16532,710,4,8,7.0,1,52.0,0.0
sweetmurderer,23.0,1.0,8.0,21.8,0.25,5.0,0.0,653,7,0,0,10.0,0,18.0,0.0
rogersens,25.0,1.0,6.0,23.75,0.833333333,1.0,0.0,24715,0,1,1,6.0,0,61.0,1.0
zxefr,40.0,1.0,0.0,,,0.0,0.0,20736,7,0,0,1.0,0,18.0,1.0
luczite,26.0,0.0,55.0,31.275,0.70212766,15.0,2.0,5510,224,4,1,168.0,0,58.0,0.0
marioparra00,22.0,1.0,60.0,24.44444444,0.48,10.0,1.0,29248,93,7,1,134.0,0,66.0,1.0
jakehyland,,,1.0,17.0,0.0,1.0,0.0,203,0,0,0,3.0,0,25.0,
optimusfangirl,27.0,0.0,3.0,27.33333333,1.0,1.0,0.0,311,20,0,1,2.0,0,48.0,1.0
ktulumythos,19.0,1.0,3.0,19.5,0.333333333,1.0,0.0,161,0,0,1,1.0,0,48.0,0.0
sh33pzorz,20.0,1.0,11.0,19.0,0.8,1.0,0.0,31795,9,0,1,6.0,0,23.0,1.0
jaybackman,,,2.0,21.0,0.0,2.0,0.0,15225,2,0,1,2.0,0,32.0,0.0
el-fluffio,33.0,1.0,1.0,,,1.0,0.0,873,0,0,0,1.0,0,43.0,1.0
ivaneo,,,2.0,24.0,1.0,2.0,0.0,1411,0,0,0,1.0,0,55.0,
maateus_,17.0,1.0,443.0,19.15159575,0.942720764,39.0,3.0,6042,0,0,0,1308.0,0,6.0,0.0
clairy_,,,3.0,22.0,1.0,1.0,0.0,0,0,0,0,1.0,0,43.0,
peppermanradio,,1.0,5.0,32.8,1.0,2.0,0.0,1447,40,0,0,0.0,0,70.0,1.0
markozawadzki,,1.0,1.0,,,0.0,0.0,908,0,0,0,1.0,0,46.0,1.0
juanitoz10,,,1.0,19.0,0.0,1.0,0.0,1244,0,0,0,1.0,0,11.0,
sebastiancain,,,4.0,22.5,0.666666667,2.0,0.0,10,0,4,0,3.0,0,47.0,
enine,23.0,0.0,42.0,24.52941177,0.41025641,3.0,1.0,55204,57,2,1,83.0,0,72.0,1.0
loserfanta,,0.0,2.0,20.0,1.0,2.0,0.0,292,0,0,0,3.0,0,49.0,0.0
mary_mustaine,28.0,0.0,28.0,28.82608696,0.791666667,14.0,0.0,10,8,0,1,17.0,0,33.0,0.0
swedeedee,22.0,0.0,24.0,24.52941177,0.666666667,8.0,0.0,11069,136,0,1,21.0,0,51.0,0.0
amer1canpsycho,18.0,0.0,1.0,27.0,0.0,1.0,0.0,74,0,0,0,2.0,0,41.0,0.0
adehoop,,0.0,1.0,18.0,1.0,1.0,0.0,2664,0,0,0,1.0,0,11.0,
peatnik,,1.0,7.0,46.0,0.6,4.0,0.0,62,2,0,0,2.0,0,41.0,1.0
voddiencoke,,,0.0,,,0.0,0.0,2362,8,0,0,2.0,0,17.0,
hafaja,,,1.0,22.0,1.0,1.0,1.0,31090,0,0,0,2.0,0,10.0,
lordkenneth,,,4.0,28.33333333,1.0,1.0,0.0,43,1,0,0,2.0,0,61.0,
princesspuffpie,,,4.0,23.0,1.0,1.0,0.0,6126,27,0,0,3.0,0,20.0,
lib3rt1ne,19.0,1.0,4.0,21.0,0.333333333,3.0,1.0,9356,127,0,0,1.0,0,37.0,1.0
tanja_bel,27.0,0.0,30.0,26.54545455,0.666666667,13.0,0.0,4781,14,0,0,5.0,0,11.0,0.0
chleffion,,0.0,1.0,17.0,1.0,1.0,0.0,8498,0,0,0,1.0,0,35.0,
gurusath,,,1.0,,0.0,1.0,0.0,52,0,0,0,0.0,0,71.0,
krizdele,18.0,0.0,13.0,22.81818182,0.7,4.0,0.0,9705,1388,0,0,11.0,1,19.0,0.0
docice,36.0,1.0,31.0,32.05,0.875,4.0,0.0,22915,222,31,1,15.0,0,68.0,1.0
napablo6,,1.0,1.0,,,0.0,0.0,0,0,0,0,1.0,0,44.0,0.0
tumppiiii,,1.0,2.0,21.0,0.0,1.0,0.0,28,0,0,1,,0,37.0,0.0
edmonia,,0.0,16.0,32.77777778,0.4375,6.0,7.0,32456,635,0,1,10.0,0,53.0,1.0
kelizabethk,25.0,0.0,4.0,24.25,0.75,1.0,0.0,72,0,2,0,0.0,0,75.0,0.0
dianka_lapa,,,1.0,19.0,1.0,1.0,0.0,115,2,0,0,1.0,0,15.0,
whoasandy,24.0,0.0,3.0,21.5,1.0,1.0,0.0,441,54,0,0,3.0,0,12.0,0.0
evilschnuffi,21.0,1.0,54.0,22.17073171,0.416666667,7.0,3.0,110672,266,111,0,2686.0,0,53.0,1.0
annapinho,15.0,0.0,9.0,17.875,0.555555556,1.0,0.0,215,0,0,0,2.0,0,39.0,0.0
silkcave,24.0,0.0,27.0,23.68,0.136363636,10.0,0.0,0,0,0,1,27.0,0,52.0,0.0
iemitsteam,,0.0,1.0,19.0,1.0,0.0,0.0,1951,0,0,0,1.0,0,30.0,
rociocampra,,,1.0,,0.0,0.0,0.0,142,0,0,1,2.0,0,9.0,
jag_25,,1.0,1.0,,0.0,1.0,0.0,12135,0,0,0,2.0,0,29.0,1.0
herrkp3,28.0,1.0,2.0,20.5,0.0,1.0,0.0,47,0,0,0,1.0,0,28.0,1.0
deropa,31.0,1.0,7.0,27.14285714,0.333333333,6.0,0.0,29479,105,0,0,33.0,0,66.0,0.0
thesophizm,20.0,0.0,21.0,24.75,0.941176471,6.0,1.0,31618,16,0,0,48.0,0,43.0,1.0
stang1968,,,0.0,,,0.0,0.0,982,2,0,0,0.0,0,14.0,
eledan,17.0,1.0,9.0,19.5,0.5,6.0,0.0,6788,627,1,1,43.0,0,39.0,0.0
pitboyslim,24.0,1.0,13.0,25.83333333,0.5,1.0,0.0,90910,11,0,0,1.0,0,32.0,0.0
drefun,,,7.0,28.66666667,0.5,2.0,0.0,10554,9,0,1,1.0,0,63.0,
tpoia,12.0,0.0,2.0,27.5,0.5,2.0,0.0,2178,2,0,0,24.0,0,26.0,0.0
sonofthebong,24.0,1.0,13.0,24.88888889,0.636363636,2.0,0.0,30724,0,0,0,48.0,0,44.0,0.0
simonnylund,32.0,1.0,37.0,25.88461539,0.7,2.0,1.0,17840,6,12,0,43.0,0,65.0,0.0
honich333,,,0.0,,,0.0,0.0,9964,6,0,1,1.0,0,38.0,
arkaeon_warlord,30.0,1.0,2.0,24.0,1.0,2.0,0.0,7785,9,0,0,1.0,0,67.0,0.0
amidoinitrite,22.0,1.0,38.0,21.1,0.777777778,3.0,1.0,23920,0,0,0,10.0,0,35.0,1.0
hombre_avestruz,,1.0,1.0,,,1.0,0.0,3,0,0,0,2.0,0,40.0,0.0
dr_noa,,,0.0,,,0.0,0.0,7736,0,0,1,1.0,0,45.0,
mtx757,21.0,1.0,2.0,23.0,1.0,1.0,0.0,3259,2,0,0,0.0,0,66.0,1.0
mminton,,,1.0,,,0.0,0.0,2808,6,0,0,0.0,0,14.0,1.0
zhelezny_lev,,,3.0,41.0,1.0,3.0,0.0,0,0,0,0,3.0,0,32.0,0.0
jschuurman,22.0,1.0,2.0,22.5,0.5,2.0,0.0,643,0,0,0,2.0,0,45.0,0.0
victim_ryan,18.0,1.0,18.0,22.30769231,0.333333333,8.0,0.0,27978,192,0,0,2.0,0,4.0,1.0
edot28,,,0.0,,,0.0,0.0,7770,3,0,0,1.0,0,24.0,
cambriaseyes,21.0,0.0,16.0,25.61538462,0.714285714,4.0,0.0,7387,26,26,1,26.0,0,66.0,1.0
bunnyfazza,25.0,0.0,6.0,25.0,0.8,3.0,0.0,13495,113,0,0,16.0,1,42.0,0.0
cintiarpn,,,1.0,27.0,0.0,1.0,0.0,9,0,0,0,1.0,0,50.0,
wehttam0141,,,0.0,,,0.0,0.0,121,9,0,0,0.0,0,18.0,
soniagomezpadil,39.0,0.0,1.0,41.0,1.0,1.0,0.0,2519,55,0,1,1.0,0,34.0,0.0
nubberboy,,,0.0,,,0.0,0.0,925,8,0,0,1.0,0,19.0,
emelguillen,17.0,0.0,1.0,14.0,0.0,1.0,0.0,97,7,0,0,1.0,0,38.0,0.0
blood8sugar,21.0,0.0,1.0,25.0,1.0,1.0,0.0,1,3,0,1,2.0,0,32.0,
szie0107,,0.0,4.0,32.5,1.0,1.0,0.0,162,17,0,0,0.0,0,43.0,1.0
fasfasfus,21.0,0.0,48.0,24.80645161,0.657894737,18.0,3.0,12644,71,0,0,66.0,0,20.0,1.0
staticcalamity,18.0,0.0,11.0,19.22222222,0.7,4.0,1.0,6805,20,0,0,5.0,0,25.0,1.0
eosnspace,,,1.0,22.0,1.0,1.0,0.0,375,13,0,0,2.0,0,31.0,
rostbot,31.0,,18.0,30.08333333,0.769230769,3.0,1.0,21901,211,1,0,13.0,1,27.0,
algarmusic,22.0,1.0,1.0,,,0.0,0.0,0,0,0,0,0.0,0,11.0,0.0
the_west,27.0,1.0,19.0,29.0,0.470588235,6.0,0.0,33629,12,0,0,8.0,0,61.0,0.0
sjoema,,,1.0,,1.0,1.0,0.0,3,1,0,0,2.0,0,18.0,
matflo7,22.0,1.0,2.0,22.0,0.5,1.0,0.0,5587,6,0,0,0.0,0,23.0,0.0
metawirriss,17.0,0.0,27.0,20.86956522,0.875,12.0,0.0,1459,16,0,1,28.0,0,10.0,0.0
stevej13021,,,0.0,,,0.0,0.0,2742,264,0,0,0.0,0,20.0,
